,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
1519,Monopoly Streets,13.73,0.73,"Oct 26, 2010",Electronic Arts,Miscellaneous/Board Games/Board Games/Board / Card Game,65.0,5.2,E,Wii,-
1520,TV Show King,8.84,0.66,"May 12, 2008",Gameloft,Miscellaneous/Trivia / Game Show/Trivia / Game Show,65.0,7.5,E10+,Wii,-
1521,UEFA Euro 2012,16.08,,"Apr 24, 2012",EA Canada,Sports/Traditional/Team/Soccer/Sim/Sim,65.0,2.3,E,PS3,-
1522,Midway Arcade Treasures 3,,,"Oct 26, 2005",Midway,Miscellaneous/Compilation,65.0,7.0,E,GameCube,1-4
1523,Downward Spiral: Horus Station,None,,"May 31, 2018",3rd Eye Studios,Adventure/3D/First-Person,65.0,-,-,PC,Online Multiplayer
1524,AO Tennis 2,27.95,,"Jan  9, 2020",Big Ant Studios,Sports/Individual/Tennis,65.0,7.3,E,PC,Online Multiplayer
1525,The Solus Project,None,,"Sep 18, 2017",Grip Games,Action/Action Adventure/General/Survival,65.0,6.9,T,PS4,-
1526,Orwell's Animal Farm,None,,"Dec 10, 2020",Nerial,Adventure/General,65.0,4.8,-,PC,No Online Multiplayer
1527,Flock!,None,,"Apr  7, 2009",Proper Games,Miscellaneous/Puzzle/Action/Puzzle/General/Puzzle/General,65.0,4.6,E,PC,No Online Multiplayer
1528,Rock of Ages 3: Make & Break,11.33,,"Jul 21, 2020",ACE Team,Action/Strategy/Real-Time/General/Defense,65.0,5.6,T,PS4,Online Multiplayer
1529,NHL Rivals 2004,,,"Nov 18, 2003",Microsoft Game Studios,Sports/Traditional/Ice Hockey/Sim,65.0,8.8,E,Xbox,1-10
1530,BloodRayne,,,"Sep  9, 2003",Terminal Reality,Action/Shooter/Shooter/Third-Person/Fantasy/Fantasy/Arcade,65.0,7.7,M,PC,No Online Multiplayer
